"id" "session" "task_type" "temp_ori" "trial" "X1" "E1" "X2" "E2" "EffortfulOptionChosen" "rt"
"176" "AF7HCRC2" "2" "Real" "Prospective" "5" 11.75 0 15 45 1 2.46648499998264
"177" "AF7HCRC2" "2" "Real" "Prospective" "5" 11.875 0 15 45 1 1.98564450000413
"178" "AF7HCRC2" "2" "Real" "Prospective" "5" 12 0 15 45 0 2.19278569996823
"179" "AF7HCRC2" "2" "Real" "Prospective" "6" 7.5 0 15 175 0 3.40151569998125
"180" "AF7HCRC2" "2" "Real" "Prospective" "6" 6.5 0 15 175 0 1.8637973999721
"181" "AF7HCRC2" "2" "Real" "Prospective" "6" 5.5 0 15 175 1 3.61516569997184
"182" "AF7HCRC2" "2" "Real" "Prospective" "6" 6 0 15 175 1 3.98494459997164
"183" "AF7HCRC2" "2" "Real" "Prospective" "6" 6.5 0 15 175 1 2.27357999997912
"184" "AF7HCRC2" "2" "Real" "Prospective" "6" 7.5 0 15 175 1 2.93069119995926
"185" "AF7HCRC2" "2" "Real" "Prospective" "6" 9.5 0 15 175 1 4.86019969999325
"186" "AF7HCRC2" "2" "Real" "Prospective" "6" 13.5 0 15 175 1 2.95186709996779
"187" "AF7HCRC2" "2" "Real" "Prospective" "6" 21.5 0 15 175 0 3.05510759999743
"188" "AF7HCRC2" "2" "Real" "Prospective" "6" 17.5 0 15 175 0 2.05897309997818
"189" "AF7HCRC2" "2" "Real" "Prospective" "6" 13.5 0 15 175 1 2.00659820000874
"190" "AF7HCRC2" "2" "Real" "Prospective" "6" 15.5 0 15 175 0 2.3224382000044
"191" "AF7HCRC2" "2" "Real" "Prospective" "6" 14.5 0 15 175 0 1.8821379999863
"192" "AF7HCRC2" "2" "Real" "Prospective" "6" 13.5 0 15 175 1 2.84861599997385
"193" "AF7HCRC2" "2" "Real" "Prospective" "6" 14 0 15 175 0 2.31239750003442
"194" "AF7HCRC2" "2" "Real" "Prospective" "6" 13.75 0 15 175 1 2.03427730000112
"195" "AF7HCRC2" "2" "Real" "Prospective" "6" 13.875 0 15 175 1 1.77706769999349
